32600, [2, 4, 6, 8], []
32700, [2, 4, 6, 8], []
32800, [2, 4, 6, 8], []
32900, [2, 4, 6, 8], []
33000, [2, 4, 6, 8], []
33100, [2, 4, 6, 8], []
33200, [2, 4, 6, 8], []
33300, [2, 4, 6, 8], []
33300, [2, 4, 6, 8], []
33500, [2, 4, 6, 8], []
33600, [2, 4, 6, 8], []
33700, [2, 4, 6, 8], []
33800, [2, 4, 6, 8], []
33900, [2, 4, 6, 8], []
34000, [2, 4, 6, 8], []
34100, [2, 4, 6, 8], []
34200, [2, 4, 6, 8], []
34300, [2, 4, 6, 8], []
34400, [2, 4, 6, 8], []
34500, [2, 4, 6, 8], []
34600, [2, 4, 6, 8], []
34700, [2, 4, 6, 8], []
34800, [2, 4, 6, 8], []
34900, [2, 4, 6, 8], []
35000, [2, 4, 6, 8], []
35100, [2, 4, 6, 8], []
35200, [2, 4, 6, 8], []
35300, [2, 4, 6, 8], []
35400, [2, 4, 6, 8], []
35500, [2, 4, 6, 8], []
35600, [2, 4, 6, 8], []
35700, [2, 4, 6, 8], []
35800, [2, 4, 6, 8], []
35900, [2, 4, 6, 8], []
36000, [2, 4, 6, 8], []
36100, [2, 4, 6, 8], []
36200, [2, 4, 6, 8], []
36300, [2, 4, 6, 8], []
36400, [2, 4, 6, 8], []
36500, [2, 4, 6, 8], []
36600, [2, 4, 6, 8], []
36700, [2, 4, 6, 8], []
36800, [2, 4, 6, 8], []
36900, [2, 4, 6, 8], []
37000, [2, 4, 6, 8], []
37100, [2, 4, 6, 8], []
37200, [2, 4, 6, 8], []
37300, [2, 4, 6, 8], []
37400, [2, 4, 6, 8], []
37500, [2, 4, 6, 8], []
37600, [2, 4, 6, 8], []
37700, [2, 4, 6, 8], []
37800, [2, 4, 6, 8], []
37900, [2, 4, 6, 8], []
38000, [2, 4, 6, 8], []
38100, [2, 4, 6, 8], []
38200, [2, 4, 6, 8], []
38300, [2, 4, 6, 8], []
38400, [2, 4, 6, 8], []
38500, [2, 4, 6, 8], []
38600, [2, 4, 6, 8], []
38700, [2, 4, 6, 8], []
38800, [2, 4, 6, 8], []
24400, [2, 4, 6, 8], []
24500, [2, 4, 6, 8], []
24600, [2, 4, 6, 8], []
24700, [2, 4, 6, 8], []
24800, [2, 4, 6, 8], []
24900, [2, 4, 6, 8], []
25000, [2, 4, 6, 8], []
25100, [2, 4, 6, 8], []
25200, [2, 4, 6, 8], []
25300, [2, 4, 6, 8], []
25400, [2, 4, 6, 8], []
25500, [2, 4, 6, 8], []
25600, [2, 4, 6, 8], []
25700, [2, 4, 6, 8], []
25800, [2, 4, 6, 8], []
25900, [2, 4, 6, 8], []
26000, [2, 4, 6, 8], []
26100, [2, 4, 6, 8], []
26200, [2, 4, 6, 8], []
26300, [2, 4, 6, 8], []
26400, [2, 4, 6, 8], []
26500, [2, 4, 6, 8], []
26600, [2, 4, 6, 8], []
26700, [2, 4, 6, 8], []
26800, [2, 4, 6, 8], []
26900, [2, 4, 6, 8], []
27000, [2, 4, 6, 8], []
27100, [2, 4, 6, 8], []
27200, [2, 4, 6, 8], []
27300, [2, 4, 6, 8], []
27400, [2, 4, 6, 8], []
27500, [2, 4, 6, 8], []
25400, [2, 4, 6, 8], []
25500, [2, 4, 6, 8], []
25600, [2, 4, 6, 8], []
25700, [2, 4, 6, 8], []
25800, [2, 4, 6, 8], []
25900, [2, 4, 6, 8], []
26000, [2, 4, 6, 8], []
26100, [2, 4, 6, 8], []
26200, [2, 4, 6, 8], []
